GCamBwN__V23_V23_SRR11905133	ILLUMINA	33	ILLUMINA	33
GCamCaPPLA01_PLA01_SRR11859275	ILLUMINA	11	ILLUMINA	33
GCamCaP_RET1_RET1_SRR11905162	ILLUMINA	33	ILLUMINA	33
GCamCaP_RET3_RET3_SRR11905161	ILLUMINA	33	ILLUMINA	33
GCamCaP_RET4_RET4_SRR11905160	ILLUMINA	33	ILLUMINA	33
GCamCaP_RET5_RET5_SRR11905159	ILLUMINA	33	ILLUMINA	33
GCamCaP_RET6_RET6_SRR11905158	ILLUMINA	24	ILLUMINA	33
GCamCaP_TRot1_RETRot1_SRR11905156	ILLUMINA	33	ILLUMINA	33
GCamCaP_TRot2_RETRot2_SRR11905155	ILLUMINA	33	ILLUMINA	33
GCamCdEGNP01_GNP01_SRR11905126	ILLUMINA	33	ILLUMINA	33
GCamCdEGNP04_GNP04_SRR11905125	ILLUMINA	33	ILLUMINA	33
GCamCdEGNP05_GNP05_SRR11905124	ILLUMINA	33	ILLUMINA	33
GCamEtW_ETH1_ETH1_SRR11905122	ILLUMINA	19	ILLUMINA	33
GCamEtW_ETH2_ETH2_SRR11905167	ILLUMINA	33	ILLUMINA	33
GCamEtW_ETH3_ETH3_SRR11905166	ILLUMINA	33	ILLUMINA	33
GCamKeEISC01_ISC01_SRR11905154	ILLUMINA	33	ILLUMINA	33
GCamKeEISC04_ISC04_SRR11905153	ILLUMINA	33	ILLUMINA	33
GCamKeEISC08_ISC08_SRR11905152	ILLUMINA	32	ILLUMINA	33
GCamNaEBNP02_BNP02_SRR11905138	ILLUMINA	33	ILLUMINA	33
GCamNaNENP11_ENP11_SRR11905132	ILLUMINA	33	ILLUMINA	33
GCamNaNENP16_ENP16_SRR11905131	ILLUMINA	33	ILLUMINA	33
GCamNaNENP19_ENP19_SRR11905130	ILLUMINA	33	ILLUMINA	33
GCamNaNENP20_ENP20_SRR11905129	ILLUMINA	33	ILLUMINA	33
GCamNaWNB102_HNB102_SRR11905128	ILLUMINA	33	ILLUMINA	33
GCamNaWNB110_HNB110_SRR11905127	ILLUMINA	33	ILLUMINA	33
GCamNeWWA720_WA720_SRR11905169	ILLUMINA	33	ILLUMINA	33
GCamNeWWA733_WA733_SRR11905168	ILLUMINA	33	ILLUMINA	33
GCamNeWWA746_WA746_SRR11905157	ILLUMINA	33	ILLUMINA	33
GCamNeWWA806_WA806_SRR11905146	ILLUMINA	33	ILLUMINA	33
GCamNeWWA808_WA808_SRR11905135	ILLUMINA	33	ILLUMINA	33
GCamSsC_SNR2_SNR2_SRR11905123	ILLUMINA	33	ILLUMINA	33
GCamTzESGR01_SGR01_SRR11905144	ILLUMINA	33	ILLUMINA	33
GCamTzESGR05_SGR05_SRR11905143	ILLUMINA	33	ILLUMINA	33
GCamTzESGR07_SGR07_SRR11905142	ILLUMINA	33	ILLUMINA	33
GCamTzESGR13_SGR13_SRR11905141	ILLUMINA	33	ILLUMINA	33
GCamTzESGR14_SGR14_SRR11905140	ILLUMINA	33	ILLUMINA	33
GCamUgW_MF06_MF06_SRR11905165	ILLUMINA	19	ILLUMINA	33
GCamUgW_MF22_MF22_SRR11905164	ILLUMINA	33	ILLUMINA	33
GCamUgW_MF24_MF24_SRR11905163	ILLUMINA	33	ILLUMINA	33
GCamZaNKKR01_KKR01_SRR11905136	ILLUMINA	33	ILLUMINA	33
GCamZaNKKR08_KKR08_SRR11905134	ILLUMINA	33	ILLUMINA	33
GCamZmEP8_04_LVNP8-04_SRR11905151	ILLUMINA	33	ILLUMINA	33
GCamZmEP8_08_LVNP8-08_SRR11905150	ILLUMINA	33	ILLUMINA	33
GCamZmEP8_09_LVNP8-09_SRR11905149	ILLUMINA	33	ILLUMINA	33
GCamZmEP8_10_LVNP8-10_SRR11905148	ILLUMINA	33	ILLUMINA	33
GCamZmEP8_12_LVNP8-12_SRR11905147	ILLUMINA	33	ILLUMINA	33
GCamZmEP8_14_LVNP8-14_SRR11905145	ILLUMINA	33	ILLUMINA	33
GCamZmSTNP09_MTNP09_SRR11905139	ILLUMINA	33	ILLUMINA	33
GCamZmS_SUN3_SUN3_SRR11905137	ILLUMINA	33	ILLUMINA	33
